Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills*,13,3,0,0.813,455,286,169,10.6,0.4,10.9,7.1,3.8
Miami Dolphins+,9,8,0,0.529,397,399,-2,-0.1,2,1.8,2.7,-0.9
New England Patriots,8,9,0,0.471,364,347,17,1,1,2,-0.3,2.3
New York Jets,7,10,0,0.412,296,316,-20,-1.2,2,0.8,-4,4.8
Cincinnati Bengals*,12,4,0,0.75,418,322,96,6,0.9,6.9,5.5,1.4
Baltimore Ravens+,10,7,0,0.588,350,315,35,2.1,1.1,3.1,-0.2,3.4
Pittsburgh Steelers,9,8,0,0.529,308,346,-38,-2.2,1.5,-0.8,-3,2.3
Cleveland Browns,7,10,0,0.412,361,381,-20,-1.2,1.1,-0.1,0.7,-0.9
Jacksonville Jaguars*,9,8,0,0.529,404,350,54,3.2,-1.4,1.8,1.6,0.2
Tennessee Titans,7,10,0,0.412,298,359,-61,-3.6,0,-3.6,-4.7,1.1
Indianapolis Colts,4,12,1,0.265,289,427,-138,-8.1,-0.5,-8.6,-4.9,-3.7
Houston Texans,3,13,1,0.206,289,420,-131,-7.7,-0.8,-8.5,-5.4,-3.1
Kansas City Chiefs*,14,3,0,0.824,496,369,127,7.5,-1.2,6.2,6.8,-0.6
Los Angeles Chargers+,10,7,0,0.588,391,384,7,0.4,-1.3,-0.9,0.1,-1
Las Vegas Raiders,6,11,0,0.353,395,418,-23,-1.4,-1.1,-2.5,1.2,-3.7
Denver Broncos,5,12,0,0.294,287,359,-72,-4.2,-0.7,-5,-5.6,0.6